id,시군명,사업장명,인허가일자,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
1,양평군,댕기비디오,19960705,12557,경기도 양평군 양평읍 양근리 176-8번지,경기도 양평군 양평읍 시민로39번길 3,127.4958934,37.4905847
2,양평군,유명비디오,19960705,12580,경기도 양평군 양서면 국수리 322-6번지,경기도 양평군 양서면 국수역길 9,127.4005414,37.5123516
3,양평군,세로나비디오,19961227,12507,경기도 양평군 옥천면 옥천리 568번지,경기도 양평군 옥천면 북부길9번길 6-3,127.4609221,37.5205481
4,양평군,성미비디오,19960705,12530,경기도 양평군 청운면 용두리 643-3번지,경기도 양평군 청운면 용두로 149,127.7092322,37.5547683
5,양평군,사계절비디오,19960705,12541,경기도 양평군 지평면 지평리 539-2번지,경기도 양평군 지평면 지평의병로 95,127.6363803,37.4751929
6,양평군,중원비디오,19960705,12522,경기도 양평군 용문면 다문리 728-18번지,경기도 양평군 용문면 용문로 353,127.5930861,37.4842738
7,양평군,영화클럽,19970428,12521,경기도 양평군 용문면 다문리 705-8번지,경기도 양평군 용문면 용문로 333,127.5914143,37.4830297
8,양평군,허리케인양평점,19980508,12561,경기도 양평군 양평읍 공흥리 456-3번지,경기도 양평군 양평읍 시민로 58,127.4980076,37.4905488
9,양평군,하나비디오,19980722,12558,경기도 양평군 양평읍 공흥리 747-6번지,경기도 양평군 양평읍 흥청길 15-1,127.4962519,37.4935204
10,양평군,조이럭클럽,19990906,12541,경기도 양평군 지평면 지평리 511-2번지,경기도 양평군 지평면 지평로 396,127.6368238,37.4755059
11,양평군,책읽는마을,19990115,12585,경기도 양평군 양서면 양수리 1035번지,경기도 양평군 양서면 양수로150번길 9-1,127.3199668,37.5449317
12,양평군,DVB CLUB,19991015,12502,경기도 양평군 서종면 문호리 795-9번지,경기도 양평군 서종면 하문호나룻터길 9-8,127.34782,37.6050659
13,양평군,현대비디오유통,20001002,12546,경기도 양평군 양평읍 오빈리 174-3번지,경기도 양평군 양평읍 물안개공원길 57,127.4758429,37.5009109
14,양평군,영화나라,20001104,12530,경기도 양평군 청운면 용두리 631-12번지,경기도 양평군 청운면 청운로 7-5,127.7102608,37.554636
15,양평군,영웅비디오,20000818,12539,경기도 양평군 양동면 쌍학리 180-5번지,경기도 양평군 양동면 양동역길 20-4,127.7541761,37.4197591
16,양평군,행운비디오,20000310,12544,경기도 양평군 지평면 곡수리 452번지,경기도 양평군 지평면 곡수길 71-2,127.6128067,37.4163653
17,양평군,영화나라,20000531,12520,경기도 양평군 용문면 다문리 735-4번지,경기도 양평군 용문면 용문역길 6,127.5932505,37.4836152
18,양평군,현대비디오,20000928,12523,경기도 양평군 용문면 다문리 321-5번지,경기도 양평군 용문면 용문로 376-1,127.5951644,37.4854437
19,양평군,미미사,19960705,12556,경기도 양평군 양평읍 양근리 408-9번지,경기도 양평군 양평읍 양평시장길18번길 5,127.4917567,37.4908542
20,양평군,그린비디오,19960705,12552,경기도 양평군 양평읍 양근리 137-29번지 그린1차아파트,경기도 양평군 양평읍 중앙로 14,127.4908079,37.496219
21,양평군,훼미리,19961125,12585,경기도 양평군 양서면 양수리 567번지 훼미리아파트,경기도 양평군 양서면 양수로152번길 16,127.3184993,37.5457645
22,양평군,지민비디오,19960705,12539,경기도 양평군 양동면 쌍학리 184-6번지,경기도 양평군 양동면 학둔지아래길 92,127.7540097,37.4189312
23,양평군,신신사,19960705,12541,경기도 양평군 지평면 지평리 578-16번지,경기도 양평군 지평면 지평의병로 112,127.6381839,37.4745886
24,양평군,대성비디오,19960802,12568,경기도 양평군 개군면 하자포리 220-8번지,경기도 양평군 개군면 하자포길 33,127.5376436,37.4260364
25,양평군,제일비디오,19981008,12556,경기도 양평군 양평읍 양근리 414-1번지,경기도 양평군 양평읍 양근로 183,127.4899759,37.4899966
26,양평군,영화마을양평점,19981015,12556,경기도 양평군 양평읍 양근리 352-3번지,경기도 양평군 양평읍 양평시장1길 14,127.4914225,37.4898825
27,양평군,서종비디오,19990423,12503,경기도 양평군 서종면 문호리 394-3번지,경기도 양평군 서종면 중미산로 6,127.3526827,37.603592
28,이천시,몬스터 DVD 영화관,20061115,17332,경기도 이천시 부발읍 아미리 736-1번지,경기도 이천시 부발읍 경충대로2110번길 14,127.4894295,37.2534402
29,파주시,로얄시네마가든,20090123,10862,경기도 파주시 탄현면 성동리 667번지,경기도 파주시 탄현면 성동로 9,126.686273,37.7795892
